trip_dayAndHour,trip_counts
01/29/2016 19,33
01/29/2016 20,26
01/29/2016 21,18
01/29/2016 22,11
01/29/2016 23,3
01/30/2016 00,7
01/30/2016 01,4
01/30/2016 02,2
01/30/2016 04,1
01/30/2016 05,3
01/30/2016 06,1
01/30/2016 07,1
01/30/2016 08,13
01/30/2016 09,19
01/30/2016 10,24
01/30/2016 11,32
01/30/2016 12,33
01/30/2016 13,50
01/30/2016 14,38
01/30/2016 15,42
01/30/2016 16,34
01/30/2016 17,32
01/30/2016 18,31
01/30/2016 19,21
01/30/2016 20,17
01/30/2016 21,16
01/30/2016 22,3
01/30/2016 23,14
01/31/2016 00,7
01/31/2016 01,5
01/31/2016 02,3
01/31/2016 03,1
01/31/2016 06,1
01/31/2016 07,3
01/31/2016 08,6
01/31/2016 09,6
01/31/2016 10,28
01/31/2016 11,36
01/31/2016 12,24
01/31/2016 13,44
01/31/2016 14,50
01/31/2016 15,63
01/31/2016 16,32
01/31/2016 17,33
01/31/2016 18,27
01/31/2016 19,22
01/31/2016 20,23
01/31/2016 21,6
01/31/2016 22,4
01/31/2016 23,7
02/01/2016 00,8
02/01/2016 01,2
02/01/2016 02,5
02/01/2016 03,1
02/01/2016 05,2
02/01/2016 06,12
02/01/2016 07,33
02/01/2016 08,86
02/01/2016 09,57
02/01/2016 10,42
02/01/2016 11,51
02/01/2016 12,42
02/01/2016 13,59
02/01/2016 14,47
02/01/2016 15,56
02/01/2016 16,71
02/01/2016 17,79
02/01/2016 18,60
02/01/2016 19,49
02/01/2016 20,39
02/01/2016 21,20
02/01/2016 22,25
02/01/2016 23,5
02/02/2016 00,4
02/02/2016 01,1
02/02/2016 02,1
02/02/2016 05,1
02/02/2016 06,10
02/02/2016 07,32
02/02/2016 08,88
02/02/2016 09,76
02/02/2016 10,44
02/02/2016 11,33
02/02/2016 12,39
02/02/2016 13,34
02/02/2016 14,38
02/02/2016 15,37
02/02/2016 16,72
02/02/2016 17,86
02/02/2016 18,63
02/02/2016 19,59
02/02/2016 20,42
02/02/2016 21,30
02/02/2016 22,17
02/02/2016 23,9
02/03/2016 00,5
02/03/2016 01,2
02/03/2016 04,2
02/03/2016 05,2
02/03/2016 06,11
02/03/2016 07,50
02/03/2016 08,85
02/03/2016 09,67
02/03/2016 10,32
02/03/2016 11,30
02/03/2016 12,31
02/03/2016 13,34
02/03/2016 14,19
02/03/2016 15,18
02/03/2016 16,31
02/03/2016 17,48
02/03/2016 18,26
02/03/2016 19,19
02/03/2016 20,15
02/03/2016 21,15
02/03/2016 22,15
02/03/2016 23,8
02/04/2016 00,7
02/04/2016 01,3
02/04/2016 02,2
02/04/2016 04,1
02/04/2016 05,1
02/04/2016 06,11
02/04/2016 07,43
02/04/2016 08,91
02/04/2016 09,57
02/04/2016 10,23
02/04/2016 11,38
02/04/2016 12,43
02/04/2016 13,33
02/04/2016 14,41
02/04/2016 15,40
02/04/2016 16,66
02/04/2016 17,88
02/04/2016 18,72
02/04/2016 19,49
02/04/2016 20,41
02/04/2016 21,21
02/04/2016 22,17
02/04/2016 23,14
02/05/2016 00,6
02/05/2016 01,2
02/05/2016 02,2
02/05/2016 06,3
02/05/2016 07,10
02/05/2016 08,20
02/05/2016 09,8
02/05/2016 10,6
02/05/2016 11,2
02/05/2016 12,5
02/05/2016 13,2
02/05/2016 14,6
02/05/2016 15,4
02/05/2016 16,7
02/05/2016 17,12
02/05/2016 18,9
02/05/2016 19,13
02/05/2016 20,4
02/05/2016 21,6
02/05/2016 22,3
02/05/2016 23,3
02/06/2016 00,5
02/06/2016 02,3
02/06/2016 05,1
02/06/2016 07,1
02/06/2016 08,4
02/06/2016 09,5
02/06/2016 10,13
02/06/2016 11,15
02/06/2016 12,20
02/06/2016 13,22
02/06/2016 14,23
02/06/2016 15,27
02/06/2016 16,23
02/06/2016 17,23
02/06/2016 18,24
02/06/2016 19,14
02/06/2016 20,11
02/06/2016 21,14
02/06/2016 22,6
02/06/2016 23,4
02/07/2016 00,4
02/07/2016 01,5
02/07/2016 02,5
02/07/2016 03,1
02/07/2016 05,2
02/07/2016 07,1
02/07/2016 08,8
02/07/2016 09,9
02/07/2016 10,18
02/07/2016 11,13
02/07/2016 12,27
02/07/2016 13,22
02/07/2016 14,25
02/07/2016 15,35
02/07/2016 16,36
02/07/2016 17,28
02/07/2016 18,25
02/07/2016 19,11
02/07/2016 20,12
02/07/2016 21,7
02/07/2016 22,17
02/07/2016 23,5
02/08/2016 00,4
02/08/2016 01,2
02/08/2016 05,1
02/08/2016 06,3
02/08/2016 07,16
02/08/2016 08,50
02/08/2016 09,29
02/08/2016 10,6
02/08/2016 11,6
